LICENCE CODE,LICENSE DESCRIPTION,YEAR,WEEK,AVERAGE DAYS TO ISSUE LICENSE,MEDIAN DAYS TO ISSUE LICENSE,TOTAL LICENSES ISSUED
1010,Limited Business License,2024,06/17/2024 - 06/23/2024,17.59,1,46
1006,Retail Food Establishment,2024,06/17/2024 - 06/23/2024,34.17,18,36
1010,Limited Business License,2024,06/10/2024 - 06/16/2024,1.44,1,45
1006,Retail Food Establishment,2024,06/10/2024 - 06/16/2024,50.82,21,38
1010,Limited Business License,2024,06/03/2024 - 06/09/2024,1.51,1,47
1009,Manufacturing Establishments,2024,06/03/2024 - 06/09/2024,88.6,27,5
1006,Retail Food Establishment,2024,06/03/2024 - 06/09/2024,38.93, ,27
1275,Filling Station,2024,05/27/2024 - 06/02/2024,19,19,1
1010,Limited Business License,2024,05/27/2024 - 06/02/2024,2.86,1,49
1006,Retail Food Establishment,2024,05/27/2024 - 06/02/2024,44.57,24,28
1010,Limited Business License,2024,05/20/2024 - 05/26/2024,3.17,1,63
1006,Retail Food Establishment,2024,05/20/2024 - 05/26/2024,40.28,20,40
1010,Limited Business License,2024,05/13/2024 - 05/19/2024,12.3,1,74
1006,Retail Food Establishment,2024,05/13/2024 - 05/19/2024,89.76,34,34
1010,Limited Business License,2024,05/06/2024 - 05/12/2024, ,1,49
1006,Retail Food Establishment,2024,05/06/2024 - 05/12/2024,136.19,45,36
1275,Filling Station,2024,04/29/2024 - 05/05/2024,14,15,3
1010,Limited Business License,2024,04/29/2024 - 05/05/2024, ,1,46
1009,Manufacturing Establishments,2024,04/29/2024 - 05/05/2024,90,90,1
1006,Retail Food Establishment,2024,04/29/2024 - 05/05/2024,28.26,16,31
1275,Filling Station,2024,04/22/2024 - 04/28/2024,12,12,1
1010,Limited Business License,2024,04/22/2024 - 04/28/2024,2.79,1,33
1009,Manufacturing Establishments,2024,04/22/2024 - 04/28/2024,127,127,1
1006,Retail Food Establishment,2024,04/22/2024 - 04/28/2024,55.82,21,34
1010,Limited Business License,2024,04/15/2024 - 04/21/2024,7.34,1,65
1009,Manufacturing Establishments,2024,04/15/2024 - 04/21/2024,9,9,2
1006,Retail Food Establishment,2024,04/15/2024 - 04/21/2024,44.43,24,28
1010,Limited Business License,2024,04/08/2024 - 04/14/2024,21.98,1,42
1009,Manufacturing Establishments,2024,04/08/2024 - 04/14/2024,26,26,2
1006,Retail Food Establishment,2024,04/08/2024 - 04/14/2024, ,16,50
1010,Limited Business License,2024,04/01/2024 - 04/07/2024,7.88,1,58
1009,Manufacturing Establishments,2024,04/01/2024 - 04/07/2024,29,29,2
1006,Retail Food Establishment,2024,04/01/2024 - 04/07/2024,32.67,19,36
1010,Limited Business License,2024,03/25/2024 - 03/31/2024,16.07,1,60
1009,Manufacturing Establishments,2024,03/25/2024 - 03/31/2024,5,5,1
1006,Retail Food Establishment,2024,03/25/2024 - 03/31/2024,93,26, 
1010,Limited Business License,2024,03/18/2024 - 03/24/2024,1.54,1,81
1006,Retail Food Establishment,2024,03/18/2024 - 03/24/2024,85.87,17,39
1010,Limited Business License,2024,03/11/2024 - 03/17/2024,1.42,1,45
1009,Manufacturing Establishments,2024,03/11/2024 - 03/17/2024,58,58,1
1006,Retail Food Establishment,2024,03/11/2024 - 03/17/2024,39.97,21,30
1275,Filling Station,2024,03/04/2024 - 03/10/2024,30,30,2
1010,Limited Business License,2024,03/04/2024 - 03/10/2024,2.51,1,51
1006,Retail Food Establishment,2024,03/04/2024 - 03/10/2024,36,23,41
1275,Filling Station,2024,02/26/2024 - 03/03/2024,11,11,1
1010,Limited Business License,2024,02/26/2024 - 03/03/2024,2.19,1,70
1009,Manufacturing Establishments,2024,02/26/2024 - 03/03/2024,7,7,2
1006,Retail Food Establishment,2024,02/26/2024 - 03/03/2024,72.06,29,36
1010,Limited Business License,2024,02/19/2024 - 02/25/2024,7.13,1,46
1006,Retail Food Establishment,2024,02/19/2024 - 02/25/2024,48.44,30,25
1010,Limited Business License,2024,02/12/2024 - 02/18/2024, ,1,37
1009,Manufacturing Establishments,2024,02/12/2024 - 02/18/2024,14.4,14,5
1006,Retail Food Establishment,2024,02/12/2024 - 02/18/2024,52.03,31,32
1275,Filling Station,2024,02/05/2024 - 02/11/2024,30,30,1
1010,Limited Business License,2024,02/05/2024 - 02/11/2024,1.24,1,33
1009,Manufacturing Establishments,2024,02/05/2024 - 02/11/2024, ,33,3
1006,Retail Food Establishment,2024,02/05/2024 - 02/11/2024,87.64,29,44
1275,Filling Station,2024,01/29/2024 - 02/04/2024,57,57,3
1010,Limited Business License,2024,01/29/2024 - 02/04/2024,7.48,1,69
1006,Retail Food Establishment,2024,01/29/2024 - 02/04/2024,62,23,36
1010,Limited Business License,2024,01/22/2024 - 01/28/2024,1.15,1,48
1006,Retail Food Establishment,2024,01/22/2024 - 01/28/2024,116.34,18,29
1010,Limited Business License,2024,01/15/2024 - 01/21/2024,3.61,1,36
1006,Retail Food Establishment,2024,01/15/2024 - 01/21/2024,189.24,49,17
1275,Filling Station,2024,01/08/2024 - 01/14/2024,12,12,2
1010,Limited Business License,2024,01/08/2024 - 01/14/2024,1.24,1,25
1009,Manufacturing Establishments,2024,01/08/2024 - 01/14/2024, ,36,3
1006,Retail Food Establishment,2024,01/08/2024 - 01/14/2024,156.5,61,20
1010,Limited Business License,2023,12/25/2023 - 12/31/2023,5.36,1,28
1006,Retail Food Establishment,2023,12/25/2023 - 12/31/2023,25.17,16,30
1275,Filling Station,2023,12/18/2023 - 12/24/2023,17,17,1
1010,Limited Business License,2023,12/18/2023 - 12/24/2023,1.05,1,55
1009,Manufacturing Establishments,2023,12/18/2023 - 12/24/2023,14,14,2
1006,Retail Food Establishment,2023,12/18/2023 - 12/24/2023, ,28,39
1275,Filling Station,2023,12/11/2023 - 12/17/2023,22,22,1
